-27.5; -42
5.5; 35
37; 20
-31; 8.5
29.5; -29.5
-43.5; -27
-11; -26.5
4.5; -21.5
-7.5; 6
31; -12
-43.5; -34
-6; -4.5
-24.5; -2
-19; -35.5
-17; -13.5
25; 3
16; -32.5
31; 37
-24; 6
-35.5; 2
21.5; 16
23.5; 32.5
-37; 4.5
-7; 18.5
42.5; -40.5
8; 28.5
43.5; 44
-43.5; 37.5
20.5; 44.5
20; 3
10.5; 4
-30; 41
41; 10
37.5; -22
21.5; -23
-18; 10
-25; -19.5
-34.5; -38
-4.5; -42
40.5; -26.5
14.5; -33
27; 14.5
30.5; 20.5
-20; 1
32; -37
5.5; 42.5
8.5; -43
0; -31.5
-22.5; 45
-12.5; 38.5
25; -43.5
3.5; 28
-4.5; -18
43; 15.5
43.5; -2.5
-5.5; -24.5
-42; -2
-12.5; 42.5
7.5; 42
-20.5; 30.5
-28; 43
-44.5; 6.5
-25.5; -16.5
-16.5; 28
-34; 38
16; -3
27; 12.5
-16.5; -5
26; -1.5
-30.5; 35.5
13.5; -23
27.5; -19.5
38; -15.5
27; 9.5
-43.5; -39.5
44.5; 31.5
4.5; 25
-25; -37
-32; -20
37.5; -32
-6; 36.5
34.5; 27.5
4; 23
-1.5; -42
-42; -8.5
-18.5; 1
-22; -41
-5.5; -30
2.5; 35
-25; -40.5
18; -42
-37; 45
27.5; 15
17; 37.5
4; 39.5
21.5; -7.5
-4; -17
44; 7.5
-35.5; -31
-13; 17
41; -11.5
41.5; 20.5
-39.5; -8.5
-35; 2
11; 20
19.5; 32.5
-11; 37.5
-34; 38.5
-15; 26
44; 3.5
-7.5; 41.5
-12; 43
-8.5; 14.5
-27.5; 24.5
-38; -22.5
5.5; 27.5
44.5; -43
44.5; -12
21.5; -10
-13; 7
-27; -23
40.5; -2.5
37; -0.5
16.5; 41.5
-10.5; 28
24; 29.5
13; 16.5
23; -3.5
-40; 40
37.5; 44.5
-9.5; 16
39; -15.5
1.5; 19
-21; 17
-20.5; 41
24.5; 7
33; 17
23; -36
35.5; 31
-11.5; 26.5
33; -3.5
4; -33
16; 22
-36; 4
-29; 39.5
26.5; -1.5
-38; 17
-33; -15.5
23; 15.5
43; 23.5
40.5; -39.5
17; 13
-19; -23.5
-25.5; 1.5
1.5; -5
-3; 40
-10.5; 16.5
32; -21.5
5; -16.5
32; 5
-25; 27
9; 18.5
10; 11.5
-42.5; -21.5
-14.5; -3
-9.5; -44
-31.5; 19
-29; -26.5
-6; -27
42.5; -32
-14; -3
6; -21
-11.5; -34
-20.5; 33
-41.5; -5.5
-42; -34
7; 37
20; -43
-18.5; -38.5
8.5; 22.5
29; -44.5
30; 26.5
-11; 29
5.5; 38.5
43.5; 41
-26.5; -12
-36.5; -9
32.5; -28
22.5; -19
-28.5; 40
-18; 14.5
31.5; -25.5
44; -17
28; -21.5
36; 6
28; -6.5
-39; 16.5
-3.5; 16.5
27.5; 27.5
-14; -44.5
